OrderID,CustomerID,OrderDate,ProductID,Quantity,UnitPrice,Region,TotalPrice
ORD000001,CUST00283,2023-08-16,PROD00050,2,128.67,South,257.34
ORD000002,CUST00500,2023-07-28,PROD00016,2,688.21,West,1376.42
ORD000003,CUST00579,2023-04-20,PROD00025,4,333.44,South,1333.76
ORD000004,CUST00858,2023-03-25,PROD00024,2,387.39,North,774.78
ORD000005,CUST00847,2023-11-09,PROD00007,3,459.1,South,1377.3000000000002
ORD000006,CUST00379,2024-01-09,PROD00031,2,390.38,South,780.76
ORD000007,CUST00304,2023-07-05,PROD00014,3,114.26,East,342.78000000000003
ORD000008,CUST00088,2023-10-15,PROD00039,3,297.48,East,892.44
ORD000009,CUST00214,2023-01-04,PROD00006,3,340.55,North,1021.6500000000001
ORD000010,CUST00972,2023-11-17,PROD00019,4,783.65,East,3134.6
ORD000011,CUST00435,2024-07-25,PROD00005,2,313.29,West,626.58
ORD000012,CUST00494,2024-06-02,PROD00040,3,554.7,East,1664.1000000000001
ORD000013,CUST00999,2024-07-26,PROD00002,2,595.11,West,1190.22
ORD000014,CUST00481,2023-11-09,PROD00049,3,49.16,East,147.48
ORD000015,CUST00505,2024-04-01,PROD00002,1,638.01,North,638.01
ORD000016,CUST00083,2023-04-14,PROD00048,4,95.71,South,382.84
ORD000017,CUST00556,2023-07-09,PROD00003,4,442.39,West,1769.56
ORD000018,CUST00170,2024-03-13,PROD00015,4,279.03,West,1116.12
ORD000019,CUST00194,2024-08-09,PROD00003,4,514.65,North,2058.6
ORD000020,CUST00702,2024-06-04,PROD00034,2,688.34,East,1376.68
ORD000021,CUST00966,2023-07-27,PROD00024,1,396.09,East,396.09
ORD000022,CUST00927,2024-08-17,PROD00004,3,892.64,West,2677.92
ORD000023,CUST00858,2023-08-22,PROD00047,3,421.31,South,1263.93
ORD000024,CUST00748,2023-12-26,PROD00020,2,774.56,West,1549.12
ORD000025,CUST00156,2023-06-10,PROD00037,4,265.95,East,1063.8
ORD000026,CUST00509,2023-01-10,PROD00035,2,145.9,East,291.8
ORD000027,CUST00571,2023-07-07,PROD00017,1,97.46,South,97.46
ORD000028,CUST00547,2024-12-02,PROD00043,2,818.39,North,1636.78
ORD000029,CUST00620,2023-11-15,PROD00020,1,700.25,East,700.25
ORD000030,CUST00976,2024-07-29,PROD00011,1,708.87,North,708.87
ORD000031,CUST00712,2023-09-30,PROD00013,2,443.54,North,887.08
ORD000032,CUST00883,2024-04-12,PROD00006,1,348.13,East,348.13
ORD000033,CUST00162,2023-05-16,PROD00014,1,85.16,West,85.16
ORD000034,CUST00489,2024-10-25,PROD00036,2,87.48,South,174.96
ORD000035,CUST00954,2024-04-18,PROD00050,3,139.04,East,417.12
ORD000036,CUST00966,2023-04-09,PROD00043,1,838.18,North,838.18
ORD000037,CUST00283,2024-07-19,PROD00010,2,163.02,South,326.04
ORD000038,CUST00439,2024-09-14,PROD00021,2,497.1,South,994.2
ORD000039,CUST00173,2023-11-16,PROD00042,1,499.83,North,499.83
ORD000040,CUST00966,2023-04-18,PROD00020,3,719.23,South,2157.69
ORD000041,CUST00372,2023-04-14,PROD00049,1,38.19,East,38.19
ORD000042,CUST00488,2024-04-24,PROD00047,3,344.42,North,1033.26
ORD000043,CUST00804,2024-03-05,PROD00028,1,500.38,North,500.38
ORD000044,CUST00946,2023-10-17,PROD00028,2,683.71,North,1367.42
ORD000045,CUST00944,2023-12-18,PROD00019,4,880.89,East,3523.56
