OrderID,CustomerID,OrderDate,ProductID,Quantity,UnitPrice,Region
ORD000001,CUST00283,2023-08-16,PROD00050,2,128.67,South
ORD000002,CUST00500,2023-07-28,PROD00016,2,688.21,West
ORD000003,CUST00579,2023-04-20,PROD00025,4,333.44,South
ORD000004,CUST00858,2023-03-25,PROD00024,2,387.39,North
ORD000005,CUST00847,2023-11-09,PROD00007,3,459.1,South
ORD000006,CUST00379,2024-01-09,PROD00031,2,390.38,South
ORD000007,CUST00304,2023-07-05,PROD00014,3,114.26,East
ORD000008,CUST00088,2023-10-15,PROD00039,3,297.48,East
ORD000009,CUST00214,2023-01-04,PROD00006,3,340.55,North
ORD000010,CUST00972,2023-11-17,PROD00019,4,783.65,East
ORD000011,CUST00435,2024-07-25,PROD00005,2,313.29,West
ORD000012,CUST00494,2024-06-02,PROD00040,3,554.7,East
ORD000013,CUST00999,2024-07-26,PROD00002,2,595.11,West
ORD000014,CUST00481,2023-11-09,PROD00049,3,49.16,East
ORD000015,CUST00505,2024-04-01,PROD00002,1,638.01,North
ORD000016,CUST00083,2023-04-14,PROD00048,4,95.71,South
ORD000017,CUST00556,2023-07-09,PROD00003,4,442.39,West
ORD000018,CUST00170,2024-03-13,PROD00015,4,279.03,West
ORD000019,CUST00194,2024-08-09,PROD00003,4,514.65,North
ORD000020,CUST00702,2024-06-04,PROD00034,2,688.34,East
ORD000021,CUST00966,2023-07-27,PROD00024,1,396.09,East
ORD000022,CUST00927,2024-08-17,PROD00004,3,892.64,West
ORD000023,CUST00858,2023-08-22,PROD00047,3,421.31,South
ORD000024,CUST00748,2023-12-26,PROD00020,2,774.56,West
ORD000025,CUST00156,2023-06-10,PROD00037,4,265.95,East
ORD000026,CUST00509,2023-01-10,PROD00035,2,145.9,East
ORD000027,CUST00571,2023-07-07,PROD00017,1,97.46,South
ORD000028,CUST00547,2024-12-02,PROD00043,2,818.39,North
ORD000029,CUST00620,2023-11-15,PROD00020,1,700.25,East
ORD000030,CUST00976,2024-07-29,PROD00011,1,708.87,North
ORD000031,CUST00712,2023-09-30,PROD00013,2,443.54,North
ORD000032,CUST00883,2024-04-12,PROD00006,1,348.13,East
ORD000033,CUST00162,2023-05-16,PROD00014,1,85.16,West
ORD000034,CUST00489,2024-10-25,PROD00036,2,87.48,South
ORD000035,CUST00954,2024-04-18,PROD00050,3,139.04,East
ORD000036,CUST00966,2023-04-09,PROD00043,1,838.18,North
